seasonID;HT_pointsHLast3g;AT_pointsALast3g;HT_pointsLast3g;AT_pointsLast3g;HT_poinstLast5g;AT_pointsLast5g;h2h_diff;HT_ShotsLast5g;AT_ShotsLast5g;HT_ShotsOTLast5g;AT_ShotsOTLast5g;HT_Goals_Last5g;AT_Goals_Last5g;HT_GoalsConLast5;AT_GoalsConLast5;HT_AvgPLast2S;AT_AvgPLast2S;HT_AvgPLastS;AT_AvgPLastS;HT_AvgGoalsHLastS;AT_AvgGoalsALastS;HomeTeam_Value;AwayTeam_Value;HT_AvgPointsCurrentS;AT_AvgPointsCurrentS;HomeWin
10;3;1;1.666666667;1;2.2;1.4;0;14.4;11.8;4.4;2;1.6;0.6;0.4;0.6;1.00877193;1.00877193;1.078947368;1.00877193;0.313657559;-0.054067221;0.122759423;0;1.9;1.4;1
10;1.333333333;2.333333333;2.333333333;3;2;2.6;2.25;13.6;13.2;5.2;6.2;2;2.2;1.4;0.6;2.342105263;1.881578947;2.342105263;1.921052632;0.862223511;0.274436846;0.647999225;0.61544424;1.7;2.5;1
10;1;1;1;2;0.6;1.8;0.75;10.4;18;2.6;7.4;0.8;3.2;2.2;1.4;1.105263158;2.197368421;1.026315789;2.052631579;0.051293294;0.274436846;0.104350354;0.7511869;0.4;1.9;1
10;1.333333333;0;1.333333333;0.666666667;0.8;0.4;0;12.2;10.4;4.8;3;1;0.6;1;1.2;1.223684211;1.144736842;1.210526316;1.105263158;0.387765531;-0.379489622;0.117779285;0.07082647;1.1;0.9;0
10;1.333333333;1;2.333333333;1.333333333;1.6;1.4;0.75;14;16;5.2;6.4;0.8;1.8;0.8;1.6;1.855263158;1.394736842;1.894736842;1.078947368;0.422856851;0.100083459;0.427865517;0.201821529;2;1.4;0
10;3;1.666666667;2;2.333333333;2;2.2;1.5;13.2;15;5.8;5.2;1.8;2;0.6;0.6;1.881578947;1.00877193;1.921052632;1.078947368;0.905708623;0.191055237;0.61544424;0.122759423;2.272727273;2;1
10;2.333333333;1.333333333;1.666666667;2;1.6;2;-1.5;11.6;19.6;3.4;7;1;2.6;0.8;1.2;1.565789474;1.486842105;1.657894737;1.605263158;0.552068582;0.693147181;0.274876465;0.479798469;1.818181818;2.090909091;0
10;1;1;0;0.666666667;1.2;1;-1.5;7.6;13.6;3;5.4;1.2;1.4;2;1.2;1.25;1.223684211;1.131578947;1.210526316;0.387765531;0;0.086231954;0.117779285;0.909090909;1.090909091;0
10;2.333333333;0;1;0.333333333;0.8;0.2;0;12;11.8;2;3.2;0.6;0.4;1.4;2.2;1.00877193;1.00877193;1.00877193;1.00877193;0.37578934;-0.054067221;0;0.001065788;1.272727273;0.363636364;0
10;1.333333333;1;2;1.333333333;2;0.8;0.75;14.6;15.8;6;5.2;1.6;1;1;3;1.394736842;1.197368421;1.078947368;1.157894737;0.233614851;-0.171850257;0.201821529;0.040984401;1.545454545;1;1
